| Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
| tanbeta = 10, m0 = 80 m12 = 160 | 0.726666  pm 0.0488622 | 1.61029 pm 0.298121 | 7.78348 pm 0.585745 | 0.521745 pm 0.0236334 | 8.61032 pm 1.30931 | 10.4395 pm 1.08875 | 2.42043 pm 0.458229 | 0.807 pm 0.165692 | 7.44 pm 1.18764 | 28.4041 pm 2.85679 | 
| tanbeta = 10, m0 = 80 m12 = 180 | 0.426089  pm 0.0291857 | 0.959048 pm 0.182207 | 4.10517 pm 0.285771 | 0.378831 pm 0.0178902 | 4.69896 pm 0.706651 | 6.42924 pm 0.636474 | 1.29131 pm 0.249919 | 0.425 pm 0.0929824 | 3.66 pm 0.638091 | 15.2956 pm 1.52251 | 
| tanbeta = 10, m0 = 80 m12 = 200 | 0.260068  pm 0.0186876 | 0.591788 pm 0.114787 | 2.38086 pm 0.157952 | 0.280297 pm 0.0136406 | 2.67141 pm 0.400305 | 4.09591 pm 0.402753 | 0.713858 pm 0.140422 | 0.2342 pm 0.0543994 | 1.89 pm 0.356844 | 8.59824 pm 0.849505 | 
| tanbeta = 10, m0 = 80 m12 = 220 | 0.163268  pm 0.0120355 | 0.377218 pm 0.0740279 | 1.47266 pm 0.0932156 | 0.210766 pm 0.0105797 | 1.57447 pm 0.240473 | 2.68 pm 0.263031 | 0.4102 pm 0.0840737 | 0.1338 pm 0.0328995 | 1.01 pm 0.205278 | 5.01 pm 0.488481 | 
| tanbeta = 10, m0 = 80 m12 = 240 | 0.105198  pm 0.00784922 | 0.246622 pm 0.0498923 | 0.954918 pm 0.0582741 | 0.160885 pm 0.0082841 | 0.944006 pm 0.142917 | 1.79142 pm 0.176967 | 0.2433 pm 0.052254 | 0.0788 pm 0.0205315 | 0.563 pm 0.123274 | 3.02 pm 0.310272 | 
| tanbeta = 10, m0 = 80 m12 = 260 | 0.0692372  pm 0.00524443 | 0.164752 pm 0.0341669 | 0.644271 pm 0.0382859 | 0.124386 pm 0.0065875 | 0.585327 pm 0.0888684 | 1.22316 pm 0.123459 | 0.1475 pm 0.0333455 | 0.0476 pm 0.0130545 | 0.323 pm 0.0756515 | 1.87 pm 0.203503 | 
| tanbeta = 10, m0 = 80 m12 = 280 | 0.0463199  pm 0.00358245 | 0.112228 pm 0.0239311 | 0.446954 pm 0.0257052 | 0.0972697 pm 0.00525918 | 0.367034 pm 0.0556649 | 0.849561 pm 0.0873699 | 0.09213 pm 0.0217801 | 0.0294 pm 0.00853675 | 0.189 pm 0.0472853 | 1.17 pm 0.134127 | 
| tanbeta = 10, m0 = 80 m12 = 300 | 0.0314313  pm 0.00246359 | 0.0777083 pm 0.0169008 | 0.317813 pm 0.0180402 | 0.0769337 pm 0.00424173 | 0.234211 pm 0.0351822 | 0.597083 pm 0.0631376 | 0.0586 pm 0.0145261 | 0.01853 pm 0.00563855 | 0.113 pm 0.0301244 | 0.754 pm 0.0913484 | 
| tanbeta = 10, m0 = 80 m12 = 320 | 0.0216677  pm 0.00172356 | 0.0546462 pm 0.0120804 | 0.230819 pm 0.0128337 | 0.0613091 pm 0.00342989 | 0.153 pm 0.0235883 | 0.423857 pm 0.0460469 | 0.03801 pm 0.00985813 | 0.0119 pm 0.00380314 | 0.0691 pm 0.0195306 | 0.491 pm 0.0630227 | 
| tanbeta = 10, m0 = 80 m12 = 340 | 0.015074  pm 0.00118225 | 0.0389337 pm 0.00891373 | 0.170483 pm 0.00933392 | 0.0493035 pm 0.00280884 | 0.101 pm 0.0160263 | 0.303996 pm 0.0334362 | 0.02503 pm 0.00679838 | 0.00775 pm 0.00259678 | 0.0427418 pm 0.0128563 | 0.325 pm 0.0439992 | 
| tanbeta = 10, m0 = 80 m12 = 360 | 0.0106085  pm 0.000837699 | 0.0280352 pm 0.00654557 | 0.127815 pm 0.006906 | 0.0399445 pm 0.00231567 | 0.0675 pm 0.0110804 | 0.220159 pm 0.0251278 | 0.01673 pm 0.00475334 | 0.00511 pm 0.0017961 | 0.0268144 pm 0.00873567 | 0.216833 pm 0.0311785 | 
| tanbeta = 10, m0 = 80 m12 = 380 | 0.00751772  pm 0.000598661 | 0.0204029 pm 0.00485973 | 0.0970646 pm 0.00519382 | 0.0325921 pm 0.00190211 | 0.0455 pm 0.00774232 | 0.160165 pm 0.0182716 | 0.0113 pm 0.00335072 | 0.00341 pm 0.00125634 | 0.0169505 pm 0.00587046 | 0.146306 pm 0.022722 | 
| tanbeta = 10, m0 = 80 m12 = 400 | 0.00537503  pm 0.00041312 | 0.0149857 pm 0.00365209 | 0.0745556 pm 0.00396202 | 0.0267419 pm 0.00159428 | 0.031 pm 0.00545551 | 0.117204 pm 0.0139664 | 0.007805 pm 0.00241454 | 0.002302 pm 0.000886037 | 0.0109291 pm 0.00408099 | 0.0993031 pm 0.0165654 | 
| tanbeta = 10, m0 = 80 m12 = 420 | 0.00386836  pm 0.000299333 | 0.0111017 pm 0.0027596 | 0.0577857 pm 0.00302723 | 0.0220853 pm 0.00132434 | 0.021242 pm 0.00393977 | 0.0862773 pm 0.0103261 | 0.005417 pm 0.00175158 | 0.001566 pm 0.000632821 | 0.00704615 pm 0.0027965 | 0.0680699 pm 0.0123093 | 
| tanbeta = 10, m0 = 80 m12 = 440 | 0.00279894  pm 0.000213974 | 0.00828636 pm 0.00210176 | 0.0452453 pm 0.00236294 | 0.0183367 pm 0.00112894 | 0.0145898 pm 0.0029036 | 0.0637171 pm 0.00781103 | 0.003795 pm 0.00128045 | 0.001075 pm 0.000454461 | 0.00463361 pm 0.0019523 | 0.0471132 pm 0.0091748 | 
| tanbeta = 10, m0 = 100 m12 = 100 | 4.79895  pm 0.287974 | 9.33237 pm 1.53665 | 199.356 pm 21.2277 | 0.80009 pm 0.034844 | 67.5167 pm 10.5954 | 55.9349 pm 6.56479 | 16.4547 pm 3.03932 | 7 pm 1.20179 | 97.4536 pm 13.5147 | 245.698 pm 26.5382 | 
| tanbeta = 10, m0 = 100 m12 = 120 | 2.36348  pm 0.146298 | 4.8308 pm 0.832262 | 49.8899 pm 4.61641 | 0.605622 pm 0.0269029 | 30.9805 pm 4.81655 | 29.3367 pm 3.2365 | 8.48995 pm 1.57231 | 3.13 pm 0.572763 | 37.8973 pm 5.48669 | 110.199 pm 11.6517 | 
| tanbeta = 10, m0 = 100 m12 = 140 | 1.25502  pm 0.0806998 | 2.65305 pm 0.478079 | 17.0699 pm 1.3895 | 0.456967 pm 0.0214478 | 15.1153 pm 2.28006 | 16.6182 pm 1.72433 | 4.36734 pm 0.821099 | 1.494 pm 0.289075 | 16 pm 2.34851 | 53.3624 pm 5.41251 | 
| tanbeta = 10, m0 = 100 m12 = 160 | 0.708016  pm 0.0481731 | 1.52828 pm 0.282737 | 7.77552 pm 0.577346 | 0.346213 pm 0.0165435 | 8.07619 pm 1.22667 | 9.9525 pm 1.00848 | 2.28247 pm 0.432935 | 0.757 pm 0.156444 | 7.35 pm 1.17586 | 27.4584 pm 2.7419 | 
| tanbeta = 10, m0 = 100 m12 = 180 | 0.417523  pm 0.0291329 | 0.91658 pm 0.174644 | 4.11324 pm 0.285709 | 0.264343 pm 0.0131403 | 4.44342 pm 0.669982 | 6.17213 pm 0.612141 | 1.23042 pm 0.240137 | 0.403 pm 0.0886868 | 3.61 pm 0.629709 | 14.8926 pm 1.4943 | 
| tanbeta = 10, m0 = 100 m12 = 200 | 0.255462  pm 0.0183054 | 0.56973 pm 0.11024 | 2.38161 pm 0.158115 | 0.203501 pm 0.0103611 | 2.5454 pm 0.380274 | 3.95 pm 0.38753 | 0.685154 pm 0.134462 | 0.2233 pm 0.0518999 | 1.87 pm 0.353285 | 8.37557 pm 0.829023 | 
| tanbeta = 10, m0 = 100 m12 = 220 | 0.160933  pm 0.0118067 | 0.364727 pm 0.0724677 | 1.47311 pm 0.0935124 | 0.157927 pm 0.00822621 | 1.50861 pm 0.227134 | 2.6 pm 0.255874 | 0.3955 pm 0.081058 | 0.1283 pm 0.0316672 | 1 pm 0.203629 | 4.89 pm 0.479778 | 
| tanbeta = 10, m0 = 100 m12 = 240 | 0.103842  pm 0.0077108 | 0.23953 pm 0.0485367 | 0.955635 pm 0.0588712 | 0.123841 pm 0.0066019 | 0.909411 pm 0.136871 | 1.74157 pm 0.173299 | 0.2359 pm 0.0509614 | 0.076 pm 0.0198319 | 0.559 pm 0.122399 | 2.96 pm 0.30605 | 
| tanbeta = 10, m0 = 100 m12 = 260 | 0.0683775  pm 0.00520629 | 0.160619 pm 0.033359 | 0.644085 pm 0.038271 | 0.0977901 pm 0.00523732 | 0.565843 pm 0.085997 | 1.19319 pm 0.121295 | 0.1442 pm 0.0325871 | 0.0461 pm 0.0126729 | 0.32 pm 0.0749757 | 1.83 pm 0.199976 | 
| tanbeta = 10, m0 = 100 m12 = 280 | 0.0458291  pm 0.00350525 | 0.109564 pm 0.0233686 | 0.446911 pm 0.0259002 | 0.0778797 pm 0.00429497 | 0.355477 pm 0.0537898 | 0.830637 pm 0.0858787 | 0.09008 pm 0.0213447 | 0.0285 pm 0.00832719 | 0.188 pm 0.0470304 | 1.15 pm 0.132499 | 
| tanbeta = 10, m0 = 100 m12 = 300 | 0.0311597  pm 0.00240897 | 0.076085 pm 0.0165974 | 0.317848 pm 0.018044 | 0.0625647 pm 0.00354802 | 0.228233 pm 0.0343941 | 0.584604 pm 0.0616323 | 0.05741 pm 0.0142704 | 0.0181 pm 0.005487 | 0.113 pm 0.0301156 | 0.742 pm 0.0906157 | 
| tanbeta = 10, m0 = 100 m12 = 320 | 0.0214718  pm 0.00171306 | 0.0535364 pm 0.0119352 | 0.230966 pm 0.0128432 | 0.0505834 pm 0.00288088 | 0.149 pm 0.0230674 | 0.415887 pm 0.0453322 | 0.03725 pm 0.00968604 | 0.0116 pm 0.00372063 | 0.0687 pm 0.0194272 | 0.484 pm 0.0622238 | 
| tanbeta = 10, m0 = 100 m12 = 340 | 0.0149542  pm 0.00119331 | 0.0382527 pm 0.0087616 | 0.170545 pm 0.00936536 | 0.0411803 pm 0.00239702 | 0.0985 pm 0.0156906 | 0.298473 pm 0.0324802 | 0.02459 pm 0.00669608 | 0.00757 pm 0.00254978 | 0.0425248 pm 0.0128127 | 0.32 pm 0.0433989 | 
| tanbeta = 10, m0 = 100 m12 = 360 | 0.0105266  pm 0.000841911 | 0.0275765 pm 0.00644322 | 0.12789 pm 0.00691007 | 0.0337231 pm 0.00198594 | 0.066 pm 0.0108886 | 0.21659 pm 0.0243282 | 0.01641 pm 0.00466977 | 0.005 pm 0.00176753 | 0.0266418 pm 0.00864623 | 0.214745 pm 0.030969 | 
| tanbeta = 10, m0 = 100 m12 = 380 | 0.00745814  pm 0.000587952 | 0.0200941 pm 0.00479216 | 0.0971454 pm 0.00519831 | 0.0277687 pm 0.00166471 | 0.0446 pm 0.00760645 | 0.157692 pm 0.0184879 | 0.01117 pm 0.00332139 | 0.00334 pm 0.00123254 | 0.0169027 pm 0.00591688 | 0.144277 pm 0.0225399 | 
| tanbeta = 10, m0 = 100 m12 = 400 | 0.00532741  pm 0.000404319 | 0.0147813 pm 0.00360078 | 0.0745405 pm 0.0039198 | 0.0229982 pm 0.00137815 | 0.0304 pm 0.00537181 | 0.115653 pm 0.0133549 | 0.007694 pm 0.00239001 | 0.002262 pm 0.000873006 | 0.0108411 pm 0.00403426 | 0.0983344 pm 0.0166149 | 
| tanbeta = 10, m0 = 100 m12 = 420 | 0.00384486  pm 0.000292801 | 0.0109682 pm 0.00272874 | 0.0577854 pm 0.00302939 | 0.0191417 pm 0.0011601 | 0.0208399 pm 0.00388884 | 0.0849773 pm 0.010213 | 0.00535 pm 0.00173193 | 0.001539 pm 0.000623232 | 0.00701743 pm 0.00278391 | 0.0673943 pm 0.0122022 | 
| tanbeta = 10, m0 = 100 m12 = 440 | 0.00277775  pm 0.000211006 | 0.00818794 pm 0.00207583 | 0.0452482 pm 0.00236502 | 0.0160048 pm 0.000992059 | 0.01433 pm 0.00281596 | 0.0628094 pm 0.00772362 | 0.00376 pm 0.00127098 | 0.001058 pm 0.000447644 | 0.00458287 pm 0.00193367 | 0.0465342 pm 0.00904974 | 
| tanbeta = 10, m0 = 100 m12 = 460 | 0.00202485  pm 0.000148976 | 0.00615844 pm 0.0015979 | 0.0357296 pm 0.00185511 | 0.0134449 pm 0.000838668 | 0.00990088 pm 0.00207449 | 0.0465997 pm 0.00587473 | 0.002651 pm 0.000934891 | 0.000732 pm 0.000323732 | 0.00303927 pm 0.00135603 | 0.0324481 pm 0.00675572 | 
| tanbeta = 10, m0 = 100 m12 = 480 | 0.00148198  pm 0.00010696 | 0.00466071 pm 0.00123893 | 0.0283085 pm 0.00144865 | 0.0113345 pm 0.00071201 | 0.00687803 pm 0.00153457 | 0.0347833 pm 0.00445468 | 0.001898 pm 0.000697221 | 0.00051 pm 0.000235465 | 0.00200755 pm 0.000949033 | 0.0226073 pm 0.00496056 | 
| tanbeta = 10, m0 = 100 m12 = 500 | 0.00108861  pm 7.53468e-05 | 0.00354526 pm 0.000961837 | 0.0225885 pm 0.00115288 | 0.00958739 pm 0.000603333 | 0.00482586 pm 0.00114055 | 0.0260164 pm 0.00339393 | 0.001259 pm 0.000504938 | 0.000357 pm 0.000172404 | 0.00134655 pm 0.000667109 | 0.0159396 pm 0.00378683 | 
