| Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
| tanbeta = 10, m0 = 1840 m12 = 880 | 1.58803e-06  pm 2.84758e-07 | 9.74685e-07 pm 4.4797e-07 | 0.000799238 pm 4.2605e-05 | 3.17012e-10 pm 1.66907e-10 | 2.77e-09 pm 3.41475e-09 | 6.87348e-08 pm 3.53862e-08 | 1.2446e-07 pm 1.44688e-07 | 1.7902e-09 pm 3.11375e-09 | 3.05e-07 pm 4.81555e-07 | 4.88e-07 pm 4.39236e-07 | 
| tanbeta = 10, m0 = 1840 m12 = 900 | 1.24156e-06  pm 2.35241e-07 | 8.27565e-07 pm 3.83857e-07 | 0.000672306 pm 3.61881e-05 | 3.05464e-10 pm 1.61118e-10 | 1.97e-09 pm 2.44399e-09 | 5.09605e-08 pm 2.68805e-08 | 9.913e-08 pm 1.18077e-07 | 1.3487e-09 pm 2.39867e-09 | 2e-07 pm 3.26759e-07 | 3.39e-07 pm 3.11754e-07 | 
| tanbeta = 10, m0 = 1840 m12 = 920 | 9.71266e-07  pm 1.91807e-07 | 7.00452e-07 pm 3.27852e-07 | 0.000564467 pm 3.03778e-05 | 2.9407e-10 pm 1.55336e-10 | 1.39e-09 pm 1.7293e-09 | 3.7479e-08 pm 2.0233e-08 | 7.8953e-08 pm 9.62732e-08 | 1.0136e-09 pm 1.83834e-09 | 1.3e-07 pm 2.20206e-07 | 2.34e-07 pm 2.19805e-07 | 
| tanbeta = 10, m0 = 1840 m12 = 940 | 7.59302e-07  pm 1.58021e-07 | 5.92547e-07 pm 2.79835e-07 | 0.000476008 pm 2.55381e-05 | 2.82962e-10 pm 1.49668e-10 | 9.64e-10 pm 1.20683e-09 | 2.73396e-08 pm 1.50678e-08 | 6.2737e-08 pm 7.86809e-08 | 7.556e-10 pm 1.39795e-09 | 8.45e-08 pm 1.47262e-07 | 1.6e-07 pm 1.53505e-07 | 
| tanbeta = 10, m0 = 1840 m12 = 960 | 5.94258e-07  pm 1.29253e-07 | 5.0023e-07 pm 2.38801e-07 | 0.000400778 pm 2.13005e-05 | 2.72082e-10 pm 1.44223e-10 | 6.63e-10 pm 8.34727e-10 | 1.97522e-08 pm 1.11529e-08 | 4.9772e-08 pm 6.37414e-08 | 5.598e-10 pm 1.05755e-09 | 5.43e-08 pm 9.76884e-08 | 1.09e-07 pm 1.06131e-07 | 
| tanbeta = 10, m0 = 1840 m12 = 980 | 4.64887e-07  pm 1.05636e-07 | 4.22391e-07 pm 2.03084e-07 | 0.000339219 pm 1.7849e-05 | 2.61543e-10 pm 1.38928e-10 | 4.51e-10 pm 5.66757e-10 | 1.41915e-08 pm 8.18737e-09 | 3.9347e-08 pm 5.16089e-08 | 4.116e-10 pm 7.88295e-10 | 3.46e-08 pm 6.43034e-08 | 7.29e-08 pm 7.30445e-08 | 
| tanbeta = 10, m0 = 1840 m12 = 1000 | 3.64084e-07  pm 8.55103e-08 | 3.56272e-07 pm 1.73341e-07 | 0.000286012 pm 1.50075e-05 | 2.51214e-10 pm 1.336e-10 | 3.03e-10 pm 3.80655e-10 | 9.99e-09 pm 6.0272e-09 | 3.1153e-08 pm 4.17444e-08 | 2.9e-10 pm 5.66461e-10 | 2.18e-08 pm 4.18936e-08 | 4.85e-08 pm 4.94316e-08 | 
| tanbeta = 10, m0 = 1860 m12 = 120 | 0.021826  pm 0.00194357 | 8.81913e-05 pm 3.02991e-05 | 41.9436 pm 3.60146 | 6.01823e-10 pm 3.07805e-10 | 1.57959e-06 pm 1.16341e-06 | 2.87246e-05 pm 7.52997e-06 | 6.929e-05 pm 3.70026e-05 | 1.3553e-06 pm 1.16821e-06 | 22.8649 pm 3.68831 | 0.0414267 pm 0.0110649 | 
| tanbeta = 10, m0 = 1860 m12 = 140 | 0.0164024  pm 0.00149347 | 8.40358e-05 pm 2.89842e-05 | 16.2948 pm 1.22584 | 5.97242e-10 pm 3.05535e-10 | 1.54134e-06 pm 1.13649e-06 | 2.83187e-05 pm 7.42399e-06 | 6.501e-05 pm 3.50504e-05 | 1.2825e-06 pm 1.11398e-06 | 9.57557 pm 1.55955 | 0.0302242 pm 0.00837284 | 
| tanbeta = 10, m0 = 1860 m12 = 160 | 0.0124976  pm 0.00110844 | 7.96079e-05 pm 2.74983e-05 | 8.16125 pm 0.56373 | 5.92434e-10 pm 3.03223e-10 | 1.48496e-06 pm 1.09648e-06 | 2.76455e-05 pm 7.23379e-06 | 6.042e-05 pm 3.29057e-05 | 1.1994e-06 pm 1.05517e-06 | 4.39 pm 0.763397 | 0.0222374 pm 0.00635004 | 
| tanbeta = 10, m0 = 1860 m12 = 180 | 0.00954219  pm 0.000850133 | 7.49766e-05 pm 2.59842e-05 | 4.62437 pm 0.301833 | 5.87326e-10 pm 3.00917e-10 | 1.43689e-06 pm 1.06384e-06 | 2.69791e-05 pm 7.05362e-06 | 5.574e-05 pm 3.06682e-05 | 1.1163e-06 pm 9.91364e-07 | 2.15 pm 0.39872 | 0.0165269 pm 0.00482532 | 
| tanbeta = 10, m0 = 1860 m12 = 200 | 0.0072962  pm 0.000654871 | 7.02192e-05 pm 2.4431e-05 | 2.84074 pm 0.176842 | 5.8174e-10 pm 2.9826e-10 | 1.35434e-06 pm 1.00533e-06 | 2.58035e-05 pm 6.79189e-06 | 5.0855e-05 pm 2.83112e-05 | 1.028e-06 pm 9.24336e-07 | 1.11 pm 0.218565 | 0.0123022 pm 0.0037552 | 
| tanbeta = 10, m0 = 1860 m12 = 220 | 0.00561472  pm 0.000491838 | 6.53484e-05 pm 2.28939e-05 | 1.83274 pm 0.109657 | 5.75902e-10 pm 2.95381e-10 | 1.28009e-06 pm 9.53919e-07 | 2.46076e-05 pm 6.4378e-06 | 4.5967e-05 pm 2.59028e-05 | 9.387e-07 pm 8.56397e-07 | 0.594 pm 0.124619 | 0.00920253 pm 0.00289873 | 
| tanbeta = 10, m0 = 1860 m12 = 240 | 0.0043277  pm 0.000373752 | 6.06025e-05 pm 2.12458e-05 | 1.23278 pm 0.0711858 | 5.69329e-10 pm 2.9149e-10 | 1.20658e-06 pm 9.02701e-07 | 2.34789e-05 pm 6.22855e-06 | 4.1182e-05 pm 2.35568e-05 | 8.503e-07 pm 7.85401e-07 | 0.329 pm 0.0732155 | 0.00693899 pm 0.00225852 | 
| tanbeta = 10, m0 = 1860 m12 = 260 | 0.00334498  pm 0.000297023 | 5.58458e-05 pm 1.97133e-05 | 0.855743 pm 0.0484613 | 5.62313e-10 pm 2.88308e-10 | 1.11489e-06 pm 8.396e-07 | 2.19357e-05 pm 5.86372e-06 | 3.66e-05 pm 2.13247e-05 | 7.65e-07 pm 7.1448e-07 | 0.188 pm 0.0443506 | 0.00522833 pm 0.00176058 | 
| tanbeta = 10, m0 = 1860 m12 = 280 | 0.00259266  pm 0.000229057 | 5.12368e-05 pm 1.81187e-05 | 0.607464 pm 0.0334538 | 5.55204e-10 pm 2.84867e-10 | 1.03189e-06 pm 7.83075e-07 | 2.03716e-05 pm 5.41627e-06 | 3.222e-05 pm 1.90462e-05 | 6.807e-07 pm 6.47067e-07 | 0.11 pm 0.0273788 | 0.00395526 pm 0.0013694 | 
| tanbeta = 10, m0 = 1860 m12 = 300 | 0.00201238  pm 0.000175206 | 4.68094e-05 pm 1.67056e-05 | 0.439311 pm 0.0238119 | 5.48208e-10 pm 2.81527e-10 | 9.40943e-07 pm 7.18978e-07 | 1.87011e-05 pm 4.94418e-06 | 2.8247e-05 pm 1.69989e-05 | 6.036e-07 pm 5.8359e-07 | 0.0659 pm 0.0173725 | 0.00299794 pm 0.00107054 | 
| tanbeta = 10, m0 = 1860 m12 = 320 | 0.00156387  pm 0.00013496 | 4.25374e-05 pm 1.52307e-05 | 0.323489 pm 0.0172338 | 5.40352e-10 pm 2.77865e-10 | 8.42639e-07 pm 6.48134e-07 | 1.6953e-05 pm 4.56113e-06 | 2.458e-05 pm 1.50936e-05 | 5.317e-07 pm 5.22373e-07 | 0.0400331 pm 0.0112287 | 0.00226408 pm 0.000841456 | 
| tanbeta = 10, m0 = 1860 m12 = 340 | 0.00121592  pm 0.000103809 | 3.84717e-05 pm 1.39007e-05 | 0.241501 pm 0.0127658 | 5.32179e-10 pm 2.74113e-10 | 7.55604e-07 pm 5.86108e-07 | 1.5401e-05 pm 4.20046e-06 | 2.1318e-05 pm 1.3327e-05 | 4.65e-07 pm 4.64273e-07 | 0.0246417 pm 0.00745301 | 0.00171829 pm 0.000663303 | 
| tanbeta = 10, m0 = 1860 m12 = 360 | 0.00094582  pm 8.00936e-05 | 3.47432e-05 pm 1.26203e-05 | 0.181989 pm 0.00945986 | 5.23022e-10 pm 2.70292e-10 | 6.68777e-07 pm 5.22217e-07 | 1.37854e-05 pm 3.7863e-06 | 1.8261e-05 pm 1.16489e-05 | 4.034e-07 pm 4.09977e-07 | 0.01537 pm 0.00494685 | 0.00130394 pm 0.000515524 | 
| tanbeta = 10, m0 = 1860 m12 = 380 | 0.000736534  pm 6.02668e-05 | 3.12433e-05 pm 1.14132e-05 | 0.13863 pm 0.00715199 | 5.14448e-10 pm 2.6613e-10 | 5.8528e-07 pm 4.60778e-07 | 1.2229e-05 pm 3.42164e-06 | 1.571e-05 pm 1.02347e-05 | 3.47e-07 pm 3.59582e-07 | 0.0096583 pm 0.00332782 | 0.000991113 pm 0.000404609 | 
| tanbeta = 10, m0 = 1860 m12 = 400 | 0.000573396  pm 4.55217e-05 | 2.79552e-05 pm 1.03234e-05 | 0.106815 pm 0.00546443 | 5.04752e-10 pm 2.60945e-10 | 7e-07 pm 6.7318e-07 | 9.89766e-06 pm 3.5037e-06 | 1.3365e-05 pm 8.91498e-06 | 2.979e-07 pm 3.14549e-07 | 0.00620191 pm 0.0022739 | 0.000753614 pm 0.000316621 | 
| tanbeta = 10, m0 = 1860 m12 = 420 | 0.000447649  pm 3.62024e-05 | 2.49335e-05 pm 9.25918e-06 | 0.0828879 pm 0.00422022 | 4.95108e-10 pm 2.5676e-10 | 6.01e-07 pm 5.82509e-07 | 8.64124e-06 pm 3.08861e-06 | 1.1325e-05 pm 7.7154e-06 | 2.54e-07 pm 2.73039e-07 | 0.00396093 pm 0.0015511 | 0.000570973 pm 0.000247301 | 
| tanbeta = 10, m0 = 1860 m12 = 440 | 0.000349657  pm 2.79794e-05 | 2.21693e-05 pm 8.32936e-06 | 0.0648954 pm 0.0032823 | 4.86134e-10 pm 2.521e-10 | 5.12e-07 pm 5.01958e-07 | 7.49512e-06 pm 2.69699e-06 | 9.6e-06 pm 6.66777e-06 | 2.153e-07 pm 2.36351e-07 | 0.00256872 pm 0.00107005 | 0.000431862 pm 0.000193233 | 
| tanbeta = 10, m0 = 1860 m12 = 460 | 0.000273545  pm 2.21301e-05 | 1.96399e-05 pm 7.41961e-06 | 0.0510875 pm 0.0025776 | 4.76177e-10 pm 2.47414e-10 | 4.33e-07 pm 4.28004e-07 | 6.45689e-06 pm 2.34598e-06 | 7.76e-06 pm 5.51687e-06 | 1.8173e-07 pm 2.02603e-07 | 0.00167615 pm 0.000737455 | 0.000326182 pm 0.000150319 | 
| tanbeta = 10, m0 = 1860 m12 = 480 | 0.000214311  pm 1.71749e-05 | 1.73541e-05 pm 6.60883e-06 | 0.0405037 pm 0.00204114 | 4.66078e-10 pm 2.42389e-10 | 3.64e-07 pm 3.63918e-07 | 5.52321e-06 pm 2.03029e-06 | 6.703e-06 pm 4.88954e-06 | 1.5238e-07 pm 1.73399e-07 | 0.00110722 pm 0.000515165 | 0.000248227 pm 0.000117262 | 
| tanbeta = 10, m0 = 1860 m12 = 500 | 0.000167424  pm 1.36841e-05 | 1.52919e-05 pm 5.8819e-06 | 0.0322898 pm 0.00162975 | 4.56027e-10 pm 2.3725e-10 | 3.04e-07 pm 3.07232e-07 | 4.68389e-06 pm 1.7454e-06 | 5.661e-06 pm 4.22969e-06 | 1.262e-07 pm 1.47916e-07 | 0.000729033 pm 0.000357615 | 0.000186515 pm 9.11286e-05 | 
| tanbeta = 10, m0 = 1860 m12 = 520 | 0.0001307  pm 1.10551e-05 | 1.34253e-05 pm 5.21272e-06 | 0.0258787 pm 0.00130843 | 4.45271e-10 pm 2.32321e-10 | 2.51e-07 pm 2.56141e-07 | 3.94613e-06 pm 1.48576e-06 | 4.7519e-06 pm 3.6353e-06 | 1.0518e-07 pm 1.25167e-07 | 0.000485606 pm 0.000250942 | 0.000140325 pm 7.02472e-05 | 
| tanbeta = 10, m0 = 1860 m12 = 540 | 0.000102051  pm 8.83405e-06 | 1.1774e-05 pm 4.60462e-06 | 0.0208026 pm 0.001051 | 4.34926e-10 pm 2.27422e-10 | 2.07e-07 pm 2.13909e-07 | 3.30607e-06 pm 1.26341e-06 | 3.9556e-06 pm 3.10262e-06 | 8.68e-08 pm 1.05246e-07 | 0.000324726 pm 0.000175973 | 0.000106094 pm 5.46382e-05 | 
| tanbeta = 10, m0 = 1860 m12 = 560 | 7.97929e-05  pm 7.18444e-06 | 1.02853e-05 pm 4.06637e-06 | 0.0168011 pm 0.000849999 | 4.23565e-10 pm 2.21485e-10 | 1.69e-07 pm 1.76632e-07 | 2.75025e-06 pm 1.06629e-06 | 3.292e-06 pm 2.63789e-06 | 7.125e-08 pm 8.8518e-08 | 0.000219891 pm 0.0001252 | 7.97337e-05 pm 4.2211e-05 | 
| tanbeta = 10, m0 = 1860 m12 = 580 | 6.22742e-05  pm 5.757e-06 | 8.96537e-06 pm 3.57717e-06 | 0.0136263 pm 0.00069091 | 4.13009e-10 pm 2.16219e-10 | 1.37e-07 pm 1.44949e-07 | 2.26685e-06 pm 8.90333e-07 | 2.7205e-06 pm 2.23222e-06 | 5.831e-08 pm 7.41635e-08 | 0.000147634 pm 8.76363e-05 | 5.96038e-05 pm 3.23775e-05 | 
| tanbeta = 10, m0 = 1860 m12 = 600 | 4.86247e-05  pm 4.67624e-06 | 7.79922e-06 pm 3.14275e-06 | 0.0110823 pm 0.000564369 | 4.02478e-10 pm 2.11081e-10 | 1.1e-07 pm 1.18309e-07 | 1.86659e-06 pm 7.43465e-07 | 2.231e-06 pm 1.87544e-06 | 4.737e-08 pm 6.13508e-08 | 9.93848e-05 pm 6.16201e-05 | 4.44596e-05 pm 2.48279e-05 | 
| tanbeta = 10, m0 = 1860 m12 = 620 | 3.80521e-05  pm 3.76813e-06 | 6.76989e-06 pm 2.75223e-06 | 0.00905124 pm 0.000461546 | 3.91766e-10 pm 2.05914e-10 | 8.81e-08 pm 9.54295e-08 | 1.52255e-06 pm 6.19682e-07 | 1.8231e-06 pm 1.57046e-06 | 3.842e-08 pm 5.09028e-08 | 6.73268e-05 pm 4.33391e-05 | 3.31473e-05 pm 1.89934e-05 | 
| tanbeta = 10, m0 = 1860 m12 = 640 | 2.97552e-05  pm 3.02157e-06 | 5.85954e-06 pm 2.4023e-06 | 0.00741105 pm 0.000377932 | 3.81099e-10 pm 2.00401e-10 | 6.99e-08 pm 7.66081e-08 | 1.23066e-06 pm 5.09001e-07 | 1.4967e-06 pm 1.3147e-06 | 3.095e-08 pm 4.19424e-08 | 3.72e-05 pm 3.69003e-05 | 2.29e-05 pm 1.57692e-05 | 
| tanbeta = 10, m0 = 1860 m12 = 660 | 2.32351e-05  pm 2.47544e-06 | 5.05883e-06 pm 2.09857e-06 | 0.00607746 pm 0.000310047 | 3.70551e-10 pm 1.95459e-10 | 5.51e-08 pm 6.11264e-08 | 9.94359e-07 pm 4.18641e-07 | 1.2213e-06 pm 1.09953e-06 | 2.484e-08 pm 3.43216e-08 | 2.51e-05 pm 2.59003e-05 | 1.69e-05 pm 1.19434e-05 | 
| tanbeta = 10, m0 = 1860 m12 = 680 | 1.81673e-05  pm 2.00933e-06 | 4.35681e-06 pm 1.82827e-06 | 0.00500316 pm 0.000256808 | 3.60039e-10 pm 1.90274e-10 | 4.31e-08 pm 4.83741e-08 | 7.9267e-07 pm 3.40123e-07 | 9.95e-07 pm 9.17785e-07 | 1.9885e-08 pm 2.80885e-08 | 1.69e-05 pm 1.82256e-05 | 1.24e-05 pm 8.96812e-06 | 
| tanbeta = 10, m0 = 1860 m12 = 700 | 1.41985e-05  pm 1.64218e-06 | 3.75303e-06 pm 1.5902e-06 | 0.00413594 pm 0.000214084 | 3.49428e-10 pm 1.84921e-10 | 3.34e-08 pm 3.78865e-08 | 6.28467e-07 pm 2.73857e-07 | 8.085e-07 pm 7.65283e-07 | 1.5776e-08 pm 2.27555e-08 | 1.14e-05 pm 1.27589e-05 | 9.12e-06 pm 6.76709e-06 | 
| tanbeta = 10, m0 = 1860 m12 = 720 | 1.11082e-05  pm 1.34687e-06 | 3.22378e-06 pm 1.37814e-06 | 0.00341736 pm 0.000176755 | 3.38633e-10 pm 1.7945e-10 | 2.57e-08 pm 2.94988e-08 | 4.95707e-07 pm 2.19816e-07 | 6.566e-07 pm 6.33912e-07 | 1.2408e-08 pm 1.83882e-08 | 7.65e-06 pm 8.9588e-06 | 6.66e-06 pm 5.05802e-06 | 
| tanbeta = 10, m0 = 1860 m12 = 740 | 8.68654e-06  pm 1.09441e-06 | 2.76085e-06 pm 1.191e-06 | 0.00283407 pm 0.000147839 | 3.28149e-10 pm 1.74422e-10 | 1.96e-08 pm 2.27215e-08 | 3.88291e-07 pm 1.75062e-07 | 5.3237e-07 pm 5.27631e-07 | 9.804e-09 pm 1.47761e-08 | 5.15e-06 pm 6.28687e-06 | 4.85e-06 pm 3.76502e-06 | 
| tanbeta = 10, m0 = 1860 m12 = 760 | 6.79609e-06  pm 8.91044e-07 | 2.36519e-06 pm 1.03434e-06 | 0.00235399 pm 0.000123935 | 3.17632e-10 pm 1.6897e-10 | 1.48e-08 pm 1.74134e-08 | 3.02351e-07 pm 1.38977e-07 | 4.3054e-07 pm 4.37273e-07 | 7.677e-09 pm 1.1839e-08 | 3.46e-06 pm 4.39858e-06 | 3.51e-06 pm 2.7875e-06 | 
| tanbeta = 10, m0 = 1860 m12 = 780 | 5.31985e-06  pm 7.35068e-07 | 2.0237e-06 pm 8.90606e-07 | 0.00195852 pm 0.000102489 | 3.07509e-10 pm 1.64052e-10 | 1.11e-08 pm 1.32371e-08 | 2.33638e-07 pm 1.09778e-07 | 3.4709e-07 pm 3.61528e-07 | 5.982e-09 pm 9.43235e-09 | 2.32e-06 pm 3.06483e-06 | 2.53e-06 pm 2.05944e-06 | 
| tanbeta = 10, m0 = 1860 m12 = 800 | 4.16432e-06  pm 6.04355e-07 | 1.73201e-06 pm 7.69684e-07 | 0.00163262 pm 8.57674e-05 | 2.97464e-10 pm 1.58808e-10 | 8.29e-09 pm 9.91209e-09 | 1.79751e-07 pm 8.60941e-08 | 2.7995e-07 pm 2.98728e-07 | 4.645e-09 pm 7.47789e-09 | 1.55e-06 pm 2.13294e-06 | 1.81e-06 pm 1.51026e-06 | 
| tanbeta = 10, m0 = 1860 m12 = 820 | 3.25093e-06  pm 5.02127e-07 | 1.47907e-06 pm 6.64108e-07 | 0.00136391 pm 7.20705e-05 | 2.87338e-10 pm 1.53761e-10 | 6.12e-09 pm 7.38774e-09 | 1.36905e-07 pm 6.68168e-08 | 2.2504e-07 pm 2.46371e-07 | 3.582e-09 pm 5.89235e-09 | 1.04e-06 pm 1.47427e-06 | 1.29e-06 pm 1.09921e-06 | 
| tanbeta = 10, m0 = 1860 m12 = 840 | 2.54606e-06  pm 4.14208e-07 | 1.26011e-06 pm 5.70382e-07 | 0.00114077 pm 6.02928e-05 | 2.77507e-10 pm 1.48753e-10 | 4.47e-09 pm 5.44456e-09 | 1.03566e-07 pm 5.16102e-08 | 1.8133e-07 pm 2.02287e-07 | 2.742e-09 pm 4.61746e-09 | 6.91e-07 pm 1.01982e-06 | 9.16e-07 pm 7.95581e-07 | 
| tanbeta = 10, m0 = 1860 m12 = 860 | 1.99019e-06  pm 3.37749e-07 | 1.07315e-06 pm 4.90824e-07 | 0.000955624 pm 5.08714e-05 | 2.67684e-10 pm 1.43838e-10 | 3.23e-09 pm 3.95715e-09 | 7.80231e-08 pm 3.98658e-08 | 1.4478e-07 pm 1.66138e-07 | 2.0906e-09 pm 3.58371e-09 | 4.58e-07 pm 6.98305e-07 | 6.45e-07 pm 5.71368e-07 | 
| tanbeta = 10, m0 = 1860 m12 = 880 | 1.55814e-06  pm 2.79936e-07 | 9.11752e-07 pm 4.21003e-07 | 0.000802708 pm 4.28842e-05 | 2.58206e-10 pm 1.38917e-10 | 2.32e-09 pm 2.86583e-09 | 5.81763e-08 pm 3.037e-08 | 1.1635e-07 pm 1.36205e-07 | 1.5868e-09 pm 2.78568e-09 | 3.02e-07 pm 4.77192e-07 | 4.52e-07 pm 4.08649e-07 | 
| tanbeta = 10, m0 = 1860 m12 = 900 | 1.21912e-06  pm 2.30759e-07 | 7.74486e-07 pm 3.61032e-07 | 0.000673682 pm 3.60677e-05 | 2.48699e-10 pm 1.34022e-10 | 1.64e-09 pm 2.04544e-09 | 4.30804e-08 pm 2.29905e-08 | 9.26e-08 pm 1.11158e-07 | 1.1988e-09 pm 2.14924e-09 | 1.98e-07 pm 3.23834e-07 | 3.14e-07 pm 2.89825e-07 | 
| tanbeta = 10, m0 = 1860 m12 = 920 | 9.53926e-07  pm 1.89263e-07 | 6.56084e-07 pm 3.07846e-07 | 0.000567078 pm 3.07263e-05 | 2.39635e-10 pm 1.29349e-10 | 1.15e-09 pm 1.43987e-09 | 3.16093e-08 pm 1.72525e-08 | 7.3757e-08 pm 9.05757e-08 | 8.994e-10 pm 1.64243e-09 | 1.29e-07 pm 2.18181e-07 | 2.16e-07 pm 2.03831e-07 | 
| tanbeta = 10, m0 = 1860 m12 = 940 | 7.46034e-07  pm 1.5576e-07 | 5.55495e-07 pm 2.63407e-07 | 0.000477437 pm 2.56185e-05 | 2.30633e-10 pm 1.24741e-10 | 8e-10 pm 1.00433e-09 | 2.30174e-08 pm 1.28795e-08 | 5.8666e-08 pm 7.40404e-08 | 6.703e-10 pm 1.24862e-09 | 8.37e-08 pm 1.45862e-07 | 1.48e-07 pm 1.42041e-07 | 
| tanbeta = 10, m0 = 1860 m12 = 960 | 5.84022e-07  pm 1.26942e-07 | 4.68308e-07 pm 2.2439e-07 | 0.000403157 pm 2.14651e-05 | 2.21768e-10 pm 1.20078e-10 | 5.49e-10 pm 6.91269e-10 | 1.66479e-08 pm 9.52591e-09 | 4.6519e-08 pm 5.9988e-08 | 4.96e-10 pm 9.43693e-10 | 5.38e-08 pm 9.6644e-08 | 1e-07 pm 9.83513e-08 | 
| tanbeta = 10, m0 = 1860 m12 = 980 | 4.56693e-07  pm 1.03804e-07 | 3.96288e-07 pm 1.91878e-07 | 0.000339577 pm 1.7829e-05 | 2.13281e-10 pm 1.15614e-10 | 3.72e-10 pm 4.67996e-10 | 1.19e-08 pm 7.01835e-09 | 3.6808e-08 pm 4.86064e-08 | 3.52e-10 pm 6.78494e-10 | 3.43e-08 pm 6.36356e-08 | 6.72e-08 pm 6.74165e-08 | 
| tanbeta = 10, m0 = 1860 m12 = 1000 | 3.58153e-07  pm 8.41576e-08 | 3.3466e-07 pm 1.63259e-07 | 0.00028657 pm 1.50354e-05 | 2.04816e-10 pm 1.11284e-10 | 2.49e-10 pm 3.12756e-10 | 8.34e-09 pm 5.13069e-09 | 2.9125e-08 pm 3.92616e-08 | 2.57e-10 pm 5.06044e-10 | 2.16e-08 pm 4.14392e-08 | 4.46e-08 pm 4.56259e-08 | 
| tanbeta = 10, m0 = 1880 m12 = 120 | 0.0210077  pm 0.00186593 | 8.00142e-05 pm 2.76819e-05 | 44.1714 pm 3.84224 | 4.86554e-10 pm 2.53946e-10 | 1.3072e-06 pm 9.77423e-07 | 2.40666e-05 pm 6.35869e-06 | 6.191e-05 pm 3.35286e-05 | 1.1658e-06 pm 1.02428e-06 | 22.8681 pm 3.68504 | 0.0383598 pm 0.0103761 | 
| tanbeta = 10, m0 = 1880 m12 = 140 | 0.0158065  pm 0.00141605 | 7.63064e-05 pm 2.64928e-05 | 16.68 pm 1.26279 | 4.83446e-10 pm 2.52475e-10 | 1.27744e-06 pm 9.56726e-07 | 2.37179e-05 pm 6.3081e-06 | 5.845e-05 pm 3.18561e-05 | 1.1037e-06 pm 9.80866e-07 | 9.55755 pm 1.57232 | 0.0279782 pm 0.00783525 | 
| tanbeta = 10, m0 = 1880 m12 = 160 | 0.0120598  pm 0.00105448 | 7.23666e-05 pm 2.52129e-05 | 8.27097 pm 0.572683 | 4.78988e-10 pm 2.50426e-10 | 1.23074e-06 pm 9.23215e-07 | 2.31493e-05 pm 6.14578e-06 | 5.4273e-05 pm 2.98934e-05 | 1.034e-06 pm 9.26605e-07 | 4.38 pm 0.761669 | 0.0205986 pm 0.00591224 | 
| tanbeta = 10, m0 = 1880 m12 = 180 | 0.00919651  pm 0.000806622 | 6.81088e-05 pm 2.37235e-05 | 4.66765 pm 0.307588 | 4.75254e-10 pm 2.48714e-10 | 1.17486e-06 pm 8.83292e-07 | 2.23736e-05 pm 5.95125e-06 | 5.0101e-05 pm 2.78896e-05 | 9.635e-07 pm 8.71959e-07 | 2.14 pm 0.396622 | 0.015219 pm 0.00454284 | 
| tanbeta = 10, m0 = 1880 m12 = 200 | 0.00705456  pm 0.000614159 | 6.38261e-05 pm 2.23191e-05 | 2.85506 pm 0.178155 | 4.71025e-10 pm 2.4649e-10 | 1.11903e-06 pm 8.43213e-07 | 2.16064e-05 pm 5.75572e-06 | 4.5625e-05 pm 2.5761e-05 | 8.857e-07 pm 8.12521e-07 | 1.1 pm 0.217133 | 0.0113528 pm 0.00348031 | 
| tanbeta = 10, m0 = 1880 m12 = 220 | 0.00542692  pm 0.000487614 | 5.95532e-05 pm 2.09768e-05 | 1.84406 pm 0.109899 | 4.6637e-10 pm 2.4428e-10 | 1.06277e-06 pm 8.04681e-07 | 2.05673e-05 pm 5.48315e-06 | 4.1454e-05 pm 2.36584e-05 | 8.14e-07 pm 7.52841e-07 | 0.593 pm 0.124434 | 0.00852735 pm 0.00271357 | 
| tanbeta = 10, m0 = 1880 m12 = 240 | 0.0041943  pm 0.000373683 | 5.51082e-05 pm 1.95152e-05 | 1.23832 pm 0.0714494 | 4.61196e-10 pm 2.41656e-10 | 9.9871e-07 pm 7.58822e-07 | 1.95919e-05 pm 5.26185e-06 | 3.7078e-05 pm 2.15339e-05 | 7.351e-07 pm 6.92122e-07 | 0.329 pm 0.0731681 | 0.00642684 pm 0.0021155 | 
| tanbeta = 10, m0 = 1880 m12 = 260 | 0.00324305  pm 0.000284784 | 5.09043e-05 pm 1.80185e-05 | 0.859355 pm 0.0482845 | 4.5601e-10 pm 2.39483e-10 | 9.17384e-07 pm 7.00135e-07 | 1.83503e-05 pm 4.94094e-06 | 3.3009e-05 pm 1.94573e-05 | 6.634e-07 pm 6.32418e-07 | 0.188 pm 0.0442485 | 0.00484716 pm 0.00164739 | 
| tanbeta = 10, m0 = 1880 m12 = 280 | 0.00251261  pm 0.00022224 | 4.66832e-05 pm 1.65518e-05 | 0.609537 pm 0.0337064 | 4.50164e-10 pm 2.36408e-10 | 8.48142e-07 pm 6.51969e-07 | 1.70483e-05 pm 4.58323e-06 | 2.9141e-05 pm 1.74669e-05 | 5.918e-07 pm 5.72149e-07 | 0.11 pm 0.0273788 | 0.00366519 pm 0.00128521 | 
| tanbeta = 10, m0 = 1880 m12 = 300 | 0.00195196  pm 0.000168704 | 4.26516e-05 pm 1.5293e-05 | 0.440217 pm 0.0236311 | 4.43936e-10 pm 2.33602e-10 | 7.72812e-07 pm 5.98194e-07 | 1.56427e-05 pm 4.20193e-06 | 2.5578e-05 pm 1.55865e-05 | 5.252e-07 pm 5.15434e-07 | 0.0657 pm 0.0172932 | 0.00277604 pm 0.00100304 | 
